timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-09T12:01:54Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:56Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:56Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:01:56Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:56Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:57Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:57Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:01:57Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:57Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:58Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:58Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:01:58Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:58Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:59Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:59Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:01:59Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:59Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:00Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:00Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:00Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:00Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:02Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:02Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:02Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:02Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:03Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:03Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:03Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
