timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T16:49:06Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:07Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:07Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:07Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:07Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:08Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:08Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:08Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:08Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:10Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:10Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:10Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:10Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:11Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:11Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:11Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:11Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:12Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
